1117,HIGH
1117,MEDIUM
1158,HIGH
1158,LOW
180,HIGH
306,HIGH
306,MEDIUM
50773,HIGH
52111,HIGH
52617,HIGH
559,HIGH
559,MEDIUM
878,HIGH
904,HIGH
904,MEDIUM
52617,50773,306,180,878,904,HIGH
559,50773,306,180,878,904,HIGH
559,52617,306,180,878,52111,HIGH
559,52617,306,180,52111,904,HIGH
52617,306,180,878,52111,904,HIGH
559,306,180,878,52111,904,HIGH
559,52617,306,180,878,904,HIGH
559,52617,50773,180,878,52111,HIGH
559,52617,50773,180,52111,904,HIGH
52617,50773,180,878,52111,904,HIGH
559,50773,180,878,52111,904,HIGH
559,52617,50773,180,878,904,HIGH
559,52617,180,878,52111,904,HIGH
559,52617,50773,306,878,52111,HIGH
559,52617,50773,306,52111,904,HIGH
52617,50773,306,878,52111,904,HIGH
559,50773,306,878,52111,904,HIGH
559,52617,50773,306,878,904,HIGH
559,52617,306,878,52111,904,HIGH
559,52617,50773,878,52111,904,HIGH
52617,50773,306,180,1158,52111,1117,HIGH
559,50773,306,180,1158,52111,1117,HIGH
50773,306,180,1158,878,52111,1117,HIGH
50773,306,180,1158,52111,904,1117,HIGH
559,52617,50773,306,180,1158,1117,HIGH
52617,50773,306,180,1158,878,1117,HIGH
52617,50773,306,180,1158,904,1117,HIGH
559,50773,306,180,1158,878,1117,HIGH
559,50773,306,180,1158,904,1117,HIGH
50773,306,180,1158,878,904,1117,HIGH
559,52617,306,180,1158,52111,1117,HIGH
52617,306,180,1158,878,52111,1117,HIGH
52617,306,180,1158,52111,904,1117,HIGH
559,306,180,1158,878,52111,1117,HIGH
559,306,180,1158,52111,904,1117,HIGH
306,180,1158,878,52111,904,1117,HIGH
559,52617,306,180,1158,878,1117,HIGH
559,52617,306,180,1158,904,1117,HIGH
52617,306,180,1158,878,904,1117,HIGH
559,306,180,1158,878,904,1117,HIGH
559,52617,50773,180,1158,52111,1117,HIGH
52617,50773,180,1158,878,52111,1117,HIGH
52617,50773,180,1158,52111,904,1117,HIGH
559,50773,180,1158,878,52111,1117,HIGH
559,50773,180,1158,52111,904,1117,HIGH
50773,180,1158,878,52111,904,1117,HIGH
559,52617,50773,180,1158,878,1117,HIGH
559,52617,50773,180,1158,904,1117,HIGH
52617,50773,180,1158,878,904,1117,HIGH
559,50773,180,1158,878,904,1117,HIGH
559,52617,180,1158,878,52111,1117,HIGH
559,52617,180,1158,52111,904,1117,HIGH
52617,180,1158,878,52111,904,1117,HIGH
559,180,1158,878,52111,904,1117,HIGH
559,52617,180,1158,878,904,1117,HIGH
559,52617,50773,306,1158,52111,1117,HIGH
52617,50773,306,1158,878,52111,1117,HIGH
52617,50773,306,1158,52111,904,1117,HIGH
559,50773,306,1158,878,52111,1117,HIGH
559,50773,306,1158,52111,904,1117,HIGH
50773,306,1158,878,52111,904,1117,HIGH
559,52617,50773,306,1158,878,1117,HIGH
559,52617,50773,306,1158,904,1117,HIGH
52617,50773,306,1158,878,904,1117,HIGH
559,50773,306,1158,878,904,1117,HIGH
559,52617,306,1158,878,52111,1117,HIGH
559,52617,306,1158,52111,904,1117,HIGH
52617,306,1158,878,52111,904,1117,HIGH
559,306,1158,878,52111,904,1117,HIGH
559,52617,306,1158,878,904,1117,HIGH
559,52617,50773,1158,878,52111,1117,HIGH
559,52617,50773,1158,52111,904,1117,HIGH
52617,50773,1158,878,52111,904,1117,HIGH
559,50773,1158,878,52111,904,1117,HIGH
559,52617,50773,1158,878,904,1117,HIGH
559,52617,1158,878,52111,904,1117,HIGH
559,52617,50773,306,180,52111,1117,HIGH
52617,50773,306,180,878,52111,1117,HIGH
52617,50773,306,180,52111,904,1117,HIGH
559,50773,306,180,878,52111,1117,HIGH
559,50773,306,180,52111,904,1117,HIGH
50773,306,180,878,52111,904,1117,HIGH
559,52617,50773,306,180,878,1117,HIGH
559,52617,50773,306,180,904,1117,HIGH
52617,50773,306,180,878,904,1117,HIGH
559,50773,306,180,878,904,1117,HIGH
559,52617,306,180,878,52111,1117,HIGH
559,52617,306,180,52111,904,1117,HIGH
52617,306,180,878,52111,904,1117,HIGH
559,306,180,878,52111,904,1117,HIGH
559,52617,306,180,878,904,1117,HIGH
559,52617,50773,180,878,52111,1117,HIGH
559,52617,50773,180,52111,904,1117,HIGH
52617,50773,180,878,52111,904,1117,HIGH
559,50773,180,878,52111,904,1117,HIGH
559,52617,50773,180,878,904,1117,HIGH
559,52617,180,878,52111,904,1117,HIGH
559,52617,50773,306,878,52111,1117,HIGH
559,52617,50773,306,52111,904,1117,HIGH
52617,50773,306,878,52111,904,1117,HIGH
559,50773,306,878,52111,904,1117,HIGH
559,52617,50773,306,878,904,1117,HIGH
559,52617,306,878,52111,904,1117,HIGH
559,52617,50773,878,52111,904,1117,HIGH
559,52617,50773,306,180,1158,52111,HIGH
52617,50773,306,180,1158,878,52111,HIGH
52617,50773,306,180,1158,52111,904,HIGH
559,50773,306,180,1158,878,52111,HIGH
559,50773,306,180,1158,52111,904,HIGH
50773,306,180,1158,878,52111,904,HIGH
559,52617,50773,306,180,1158,878,HIGH
559,52617,50773,306,180,1158,904,HIGH
52617,50773,306,180,1158,878,904,HIGH
559,50773,306,180,1158,878,904,HIGH
559,52617,306,180,1158,878,52111,HIGH
559,52617,306,180,1158,52111,904,HIGH
52617,306,180,1158,878,52111,904,HIGH
559,306,180,1158,878,52111,904,HIGH
559,52617,306,180,1158,878,904,HIGH
559,52617,50773,180,1158,878,52111,HIGH
559,52617,50773,180,1158,52111,904,HIGH
52617,50773,180,1158,878,52111,904,HIGH
559,50773,180,1158,878,52111,904,HIGH
559,52617,50773,180,1158,878,904,HIGH
559,52617,180,1158,878,52111,904,HIGH
559,52617,50773,306,1158,878,52111,HIGH
559,52617,50773,306,1158,52111,904,HIGH
52617,50773,306,1158,878,52111,904,HIGH
559,50773,306,1158,878,52111,904,HIGH
559,52617,50773,306,1158,878,904,HIGH
559,52617,306,1158,878,52111,904,HIGH
559,52617,50773,1158,878,52111,904,HIGH
559,52617,50773,306,180,878,52111,HIGH
559,52617,50773,306,180,52111,904,HIGH
52617,50773,306,180,878,52111,904,HIGH
559,50773,306,180,878,52111,904,HIGH
559,52617,50773,306,180,878,904,HIGH
559,52617,306,180,878,52111,904,HIGH
559,52617,50773,180,878,52111,904,HIGH
559,52617,50773,306,878,52111,904,HIGH
559,52617,50773,306,180,1158,52111,1117,HIGH
52617,50773,306,180,1158,878,52111,1117,HIGH
52617,50773,306,180,1158,52111,904,1117,HIGH
559,50773,306,180,1158,878,52111,1117,HIGH
559,50773,306,180,1158,52111,904,1117,HIGH
50773,306,180,1158,878,52111,904,1117,HIGH
559,52617,50773,306,180,1158,878,1117,HIGH
559,52617,50773,306,180,1158,904,1117,HIGH
52617,50773,306,180,1158,878,904,1117,HIGH
559,50773,306,180,1158,878,904,1117,HIGH
559,52617,306,180,1158,878,52111,1117,HIGH
559,52617,306,180,1158,52111,904,1117,HIGH
52617,306,180,1158,878,52111,904,1117,HIGH
559,306,180,1158,878,52111,904,1117,HIGH
559,52617,306,180,1158,878,904,1117,HIGH
559,52617,50773,180,1158,878,52111,1117,HIGH
559,52617,50773,180,1158,52111,904,1117,HIGH
52617,50773,180,1158,878,52111,904,1117,HIGH
559,50773,180,1158,878,52111,904,1117,HIGH
559,52617,50773,180,1158,878,904,1117,HIGH
559,52617,180,1158,878,52111,904,1117,HIGH
559,52617,50773,306,1158,878,52111,1117,HIGH
559,52617,50773,306,1158,52111,904,1117,HIGH
52617,50773,306,1158,878,52111,904,1117,HIGH
559,50773,306,1158,878,52111,904,1117,HIGH
559,52617,50773,306,1158,878,904,1117,HIGH
559,52617,306,1158,878,52111,904,1117,HIGH
559,52617,50773,1158,878,52111,904,1117,HIGH
559,52617,50773,306,180,878,52111,1117,HIGH
559,52617,50773,306,180,52111,904,1117,HIGH
52617,50773,306,180,878,52111,904,1117,HIGH
559,50773,306,180,878,52111,904,1117,HIGH
559,52617,50773,306,180,878,904,1117,HIGH
559,52617,306,180,878,52111,904,1117,HIGH
559,52617,50773,180,878,52111,904,1117,HIGH
559,52617,50773,306,878,52111,904,1117,HIGH
559,52617,50773,306,180,1158,878,52111,HIGH
559,52617,50773,306,180,1158,52111,904,HIGH
52617,50773,306,180,1158,878,52111,904,HIGH
559,50773,306,180,1158,878,52111,904,HIGH
559,52617,50773,306,180,1158,878,904,HIGH
559,52617,306,180,1158,878,52111,904,HIGH
559,52617,50773,180,1158,878,52111,904,HIGH
559,52617,50773,306,1158,878,52111,904,HIGH
559,52617,50773,306,180,878,52111,904,HIGH
559,52617,50773,306,180,1158,878,52111,1117,HIGH
559,52617,50773,306,180,1158,52111,904,1117,HIGH
52617,50773,306,180,1158,878,52111,904,1117,HIGH
559,50773,306,180,1158,878,52111,904,1117,HIGH
559,52617,50773,306,180,1158,878,904,1117,HIGH
559,52617,306,180,1158,878,52111,904,1117,HIGH
559,52617,50773,180,1158,878,52111,904,1117,HIGH
559,52617,50773,306,1158,878,52111,904,1117,HIGH
559,52617,50773,306,180,878,52111,904,1117,HIGH
559,52617,50773,306,180,1158,878,52111,904,HIGH
559,52617,50773,306,180,1158,878,52111,904,1117,HIGH
